Distance,Duration,Passengers,TimeOfDay,WeatherCondition,TrafficCondition,Fare
14.591401976868257,28,4,3,3,0,607.8503623191546
5.375161328340004,29,2,0,0,1,418.8775692215397
9.125439775536789,11,1,3,0,1,302.608279449528
8.34816107223234,21,1,1,0,0,384.32043021321135
16.047068212460186,12,1,2,0,2,453.44827459913074
15.150492311343669,23,3,0,3,1,560.2074492558181
18.382693515572683,29,4,1,1,0,687.9430731274649
6.304082489441242,29,4,1,0,0,455.76105231974844
11.328827295279057,12,3,1,0,0,377.4092997594586
5.446958291571055,27,1,2,2,1,401.3428509679261
8.279569622054051,25,2,2,2,1,438.19395062958847
12.580329321550437,14,1,2,3,1,404.7051286328942
5.398039545257954,18,4,1,2,2,308.8436592431453
7.982564760299727,11,3,2,0,2,293.3438619295396
14.748266566692848,13,2,2,1,0,443.4196600352134
13.17412220904825,11,3,2,2,0,395.2537514040912
8.306609330610451,25,1,1,2,2,439.4920941440849
13.838985258138631,26,3,1,1,2,560.0528889339239
17.1414568501674,17,2,0,0,2,542.4208026863031
5.097481395170915,30,1,0,2,1,415.7389598948995
17.08728877749212,21,1,3,0,2,568.8126764785989
15.472090924823403,23,2,0,1,1,554.0581411231354
10.103757747769878,25,4,0,3,1,474.81783784553147
7.332192497176724,19,2,2,2,1,359.00602395537857
19.358196083101717,17,4,2,1,2,592.488281844333
10.048918176689401,10,1,0,1,1,321.95585366316544
6.391187650702219,11,3,3,2,1,265.0869105619376
6.45074565250196,10,4,2,2,2,249.83889901811568
17.712415495211896,16,2,3,0,0,537.0770264491551
14.055890470503366,27,4,0,1,2,589.760825640505
17.1069240991157,29,3,0,0,2,664.628509769382
15.945976800407268,22,4,0,3,1,570.3327526829418
13.04342137182051,10,1,1,0,0,370.0393280384362
19.59673645969056,27,3,2,2,0,684.4961785623366
10.678015658125302,25,3,0,2,0,478.992148701832
13.280609469098405,11,4,0,0,2,411.3050117998462
17.441069963794924,22,1,2,0,2,592.3304917451936
14.27779628546369,22,3,0,0,0,534.3136182459522
17.92560350466166,14,3,1,1,2,521.4536160839887
13.66028217885143,23,3,0,0,0,520.4383587117061
15.568577543223853,23,1,1,1,0,553.7944183893081
5.687365754834933,27,2,0,0,2,402.5149155852074
8.418474134773202,14,1,3,3,0,326.21142557111995
9.340819454031607,13,3,1,3,0,351.7068448757703
6.196879653854412,24,1,0,1,1,388.622932726478
8.491863295415452,13,4,2,3,0,337.1856035245846
6.515021441145937,29,3,3,0,2,452.09384629849154
9.169604046651383,21,1,0,3,2,413.19261938190834
14.535266663966002,21,1,2,0,2,523.0057309425792
10.472482684551263,16,3,2,3,2,395.150840973781
10.55271450675324,20,3,3,0,2,435.042685280079
8.142605461572316,23,4,3,0,1,423.34176749902645
9.004667330736702,11,3,0,0,1,318.5838599124397
19.04981881568741,17,1,2,0,2,565.0386600692233
14.720530778698903,17,1,3,3,1,478.7567554628575
14.136965085004823,12,4,3,1,1,433.73621656864646
7.567079722971455,28,2,3,1,2,447.7804859802501
15.936901969255238,10,3,3,2,0,451.34426343689296
7.4510374064289255,17,4,1,3,1,339.4476222082985
10.691831626364717,23,4,2,2,0,469.5346142359446
19.84285025954893,27,3,0,1,0,689.9219862615746
14.599996397811394,28,2,0,2,0,584.3248417992443
13.354246156619693,11,1,2,3,0,385.01667087279816
15.26921376484812,10,4,1,3,1,430.4110312016276
17.642778802847143,17,1,1,0,2,536.1312344465481
16.639998673193674,11,2,1,1,1,458.84954529488755
8.435721079461565,12,1,1,1,1,301.2712524301642
5.481503658560566,11,3,2,2,2,243.3121492662309
9.731795720886229,14,2,2,3,2,349.05757989106104
9.016113139635541,24,4,3,2,2,448.03176011771484
8.164742653794896,15,2,2,3,1,338.36193887990754
19.143645715025816,19,1,3,0,0,585.6878289137376
18.145514397090032,11,1,3,2,0,497.4173098019876
